Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
sphinxcontrib-devhelp;              1.0.2;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-htmlhelp;             2.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-jsmath;               1.0.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-mermaid;              0.7.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-needs;                0.7.1;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinxcontrib-plantuml;             0.21;               pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-qthelp;               1.0.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-serializinghtml;      1.1.5;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-spelling;             7.2.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sqlite;                             3.36.0;             h2bbff1b_0;             defaults;   Public-Domain (http://www.sqlite.org/copyright.html);                       2021-07-26
statsmodels;                        0.12.2;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
strictdoc;                          0.0.11;             pypi_0;                 pypi;       Other/Proprietary License;                                                  2021-07-26
tabulate;                           0.8.9;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
tenacity;                           8.0.1;              pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
terminado;                          0.10.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
testpath;                           0.5.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
textparser;                         0.23.0;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
textx;                              2.3.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
threadpoolctl;                      2.2.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
toml;                               0.10.2;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
tomli;                              1.1.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
toolz;                              0.11.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
tornado;                            6.1;                pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
traitlets;                          5.0.5;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
typing-extensions;                  3.10.0.0;           pypi_0;                 pypi;       Python Software Foundation License;                                         2021-07-26
tzdata;                             2021a;              h52ac0ba_0;             defaults;   Apache-2.0;                                                                 2021-07-26
uptime;                             3.0.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
urllib3;                            1.26.6;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
vc;                                 14.2;               h21ff451_1;             defaults;   Modified BSD License (3-clause);                                            2021-07-26
vs2015_runtime;                     14.27.29016;        h5e58377_2;             defaults;   \-;                                                                         2021-07-26
wcwidth;                            0.2.5;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
webencodings;                       0.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
wheel;                              0.36.2;             pyhd3eb1b0_0;           defaults;   MIT;                                                                        2021-07-26
widgetsnbextension;                 3.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
wincertstore;                       0.2;                py39h2bbff1b_0;         defaults;   Python Software Foundation License;                                         2021-07-26
windows-curses;                     2.2.0;              pypi_0;                 pypi;       Python Software Foundation License;                                         2021-07-26
winpty;                             0.4.3;              4;                      defaults;   MIT;                                                                        2021-07-26
wrapt;                              1.12.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
wxpython;                           4.1.1;              pypi_0;                 pypi;       wxWindows Library License (https://opensource.org/licenses/wxwindows.php);  2021-07-26
xlsxwriter;                         1.4.4;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
zlib;                               1.2.11;             h62dcd97_4;             defaults;   zlib;                                                                       2021-07-26
