Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
scipy;                              1.7.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
seaborn;                            0.11.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
send2trash;                         1.7.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
setuptools;                         52.0.0;             py39h06a4308_0;         defaults;   MIT;                                                                        2021-07-26
six;                                1.16.0;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
smmap;                              4.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
snowballstemmer;                    2.1.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
soupsieve;                          2.2.1;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinx;                             4.1.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinx-copybutton;                  0.3.3;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinx-plotly-directive;            0.1.3;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinx-rtd-theme;                   0.5.2;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinxcontrib-applehelp;            1.0.2;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-bibtex;               2.3.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-devhelp;              1.0.2;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-htmlhelp;             2.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-jsmath;               1.0.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-mermaid;              0.7.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-needs;                0.7.1;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinxcontrib-plantuml;             0.21;               pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-qthelp;               1.0.3;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-serializinghtml;      1.1.5;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sphinxcontrib-spelling;             7.2.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
sqlite;                             3.36.0;             hc218d9a_0;             defaults;   Public-Domain (http://www.sqlite.org/copyright.html);                       2021-07-26
statsmodels;                        0.12.2;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
strictdoc;                          0.0.11;             pypi_0;                 pypi;       Other/Proprietary License;                                                  2021-07-26
tabulate;                           0.8.9;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
tenacity;                           8.0.1;              pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
terminado;                          0.10.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
testpath;                           0.5.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
textparser;                         0.23.0;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
textx;                              2.3.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
threadpoolctl;                      2.2.0;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
tk;                                 8.6.10;             hbc83047_0;             defaults;   Tcl/Tk;                                                                     2021-07-26
toml;                               0.10.2;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
tomli;                              1.1.0;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
toolz;                              0.11.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
tornado;                            6.1;                pypi_0;                 pypi;       Apache Software License;                                                    2021-07-26
