Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
dask;                               2021.1.1;           pyhd3eb1b0_0;           defaults;   BSD;                                                                        2021-02-02
dask-core;                          2021.1.1;           pyhd3eb1b0_0;           defaults;   BSD;                                                                        2021-02-02
decorator;                          4.4.2;              pyhd3eb1b0_0;           defaults;   new BSD License;                                                            2021-02-02
defusedxml;                         0.6.0;              py_0;                   defaults;   PSFL;                                                                       2021-02-02
diskcache;                          5.2.1;              pypi_0;                 pypi;       Apache 2.0;                                                                 2021-02-02
distributed;                        2021.1.1;           py38haa95532_1;         defaults;   BSD;                                                                        2021-02-02
docutils;                           0.16;               py38_1;                 defaults;   public domain, Python, 2-Clause BSD, GPL 3 (see COPYING.txt);               2021-02-02
doorstop;                           2.1.4;              pypi_0;                 pypi;       LGPLv3;                                                                     2021-02-02
doxygen;                            1.8.20;             1;                      foxbms;     GPLv2;                                                                      2021-02-02
entrypoints;                        0.3;                py38_0;                 defaults;   MIT;                                                                        2021-02-02
et-xmlfile;                         1.0.1;              pypi_0;                 pypi;       MIT;                                                                        2021-02-02
filterpy;                           1.4.5;              pypi_0;                 pypi;       MIT;                                                                        2021-02-02
freetype;                           2.10.4;             hd328e21_0;             defaults;   GPL-2.0-only and LicenseRef-FreeType;                                       2021-02-02
fsspec;                             0.8.3;              py_0;                   defaults;   BSD;                                                                        2021-02-02
gcovr;                              4.2;                pypi_0;                 pypi;       BSD License (BSD);                                                          2021-02-02
gitdb;                              4.0.5;              pypi_0;                 pypi;       BSD License (BSD License);                                                  2021-02-02
gitpython;                          3.1.12;             pypi_0;                 pypi;       BSD License;                                                                2021-02-02
graphviz;                           2.38;               hfd603c8_2;             defaults;   EPL v1.0;                                                                   2021-02-02
heapdict;                           1.0.1;              py_0;                   defaults;   BSD;                                                                        2021-02-02
httplib2;                           0.18.1;             pypi_0;                 pypi;       MIT;                                                                        2021-02-02
icc_rt;                             2019.0.0;           h0cc432a_1;             defaults;   Intel proprietary;                                                          2021-02-02
icu;                                58.2;               ha925a31_3;             defaults;   MIT;                                                                        2021-02-02
